,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
la01,760,635,688,638,602,651
la02,692,577,678,589,635,594
la03,617,534,574,501,516,535
la04,633,632,703,578,569,545
la05,517,520,559,485,471,501
la06,1049,879,984,856,854,822
la07,894,792,926,816,834,796
la08,967,822,972,866,833,873
la09,968,908,942,909,907,946
la10,903,855,996,845,899,852
la11,1259,1086,1205,1110,1107,1101
la12,1093,991,1154,943,1043,1116
la13,1199,1044,1260,1081,1102,1124
la14,1198,1117,1252,1175,1164,1131
la15,1225,1157,1236,1233,1206,1262
la16,880,813,952,894,847,874
la17,918,807,766,832,811,833
la18,817,738,729,765,847,820
la19,832,902,874,893,902,808
la20,973,866,943,950,866,989
la21,1205,988,1133,997,947,1022
la22,1126,870,1006,967,858,1078
la23,1104,969,1189,1089,947,1014
la24,1117,983,1012,1006,962,1048
la25,1116,899,1185,899,962,1014
la26,1372,1154,1382,1177,1211,1246
la27,1597,1227,1511,1258,1225,1243
la28,1577,1204,1428,1251,1194,1227
la29,1435,1100,1444,1156,1070,1207
la30,1462,1280,1286,1257,1254,1361
la31,1791,1619,1782,1589,1621,1659
la32,2117,1763,2263,1774,1726,1963
la33,1876,1567,1909,1558,1599,1628
la34,1815,1620,1834,1630,1611,1671
la35,1805,1588,1864,1728,1681,1794
la36,1338,1284,1347,1273,1192,1295
la37,1412,1284,1228,1330,1292,1319
la38,1380,1153,1238,1156,1113,1173
la39,1236,1163,1330,1249,1237,1267
la40,1394,1176,1232,1238,1168,1180
