,6-area-simple2-fjsp-0999-9202-v-,converged_iterations,total_time,min
la01,575.0,5192.0,338.79978132247925,574.0
la02,536.0,4247.0,282.6409466266632,531.0
la03,488.0,2672.0,171.64328527450562,484.0
la04,518.0,3509.0,230.83245468139648,506.0
la05,466.0,3383.0,221.73736333847046,461.0
la06,811.0,3941.0,492.9172308444977,801.0
la07,761.0,4130.0,521.2480823993683,753.0
la08,775.0,4877.0,617.7126824855804,768.0
la09,871.0,4940.0,634.0990533828735,858.0
la10,810.0,5489.0,727.3533656597137,806.0
la11,1087.0,4886.0,861.193877696991,1076.0
la12,942.0,5291.0,930.3193202018738,936.0
la13,1047.0,5345.0,860.3090250492096,1039.0
la14,1076.0,6083.0,961.7083201408386,1071.0
la15,1091.0,6119.0,970.7772464752197,1091.0
la16,722.0,2591.0,329.0503511428833,717.0
la17,646.0,1709.0,202.06711268424988,646.0
la18,667.0,1664.0,193.58028030395508,663.0
la19,624.0,2699.0,348.2102315425873,619.0
la20,756.0,2204.0,269.4577076435089,756.0
la21,813.0,4310.0,887.0486650466919,808.0
la22,760.0,5237.0,1081.797456741333,744.0
la23,827.0,7397.0,1495.1200280189514,818.0
la24,783.0,7136.0,1483.574546098709,778.0
la25,768.0,10286.0,2199.605232477188,759.0
la26,1062.0,7343.0,2117.6193895339966,1056.0
la27,1092.0,12419.0,3232.7554450035095,1086.0
la28,1075.0,12320.0,1977.1160147190094,1073.0
la29,1004.0,10790.0,1727.0505034923553,999.0
la30,1080.0,11888.0,1911.0776271820068,1076.0
la31,1527.0,9278.0,2405.6449773311615,1523.0
la32,1663.0,10673.0,2897.7364954948425,1663.0
la33,1510.0,11528.0,2956.1206328868866,1503.0
la34,1565.0,12257.0,3194.2262573242188,1544.0
la35,1556.0,11168.0,2886.740867614746,1553.0
la36,961.0,5057.0,796.1431531906128,948.0
la37,986.0,2690.0,395.17060589790344,986.0
la38,943.0,8873.0,1478.8678476810455,943.0
la39,938.0,3734.0,587.9999489784241,933.0
la40,956.0,5174.0,829.843563079834,955.0
